????,l(x),d(x),eo(x),1000q(x)
0,"1,000,000","1,059",79.76,1.0585
1,"998,942",233,78.84,0.2333
2,"998,708",228,77.86,0.2280
3,"998,481",222,76.88,0.2227
4,"998,258",217,75.90,0.2175
5,"998,041",212,74.91,0.2122
6,"997,829",206,73.93,0.2069
7,"997,623",201,72.94,0.2016
8,"997,422",204,71.96,0.2046
9,"997,218",212,70.97,0.2128
10,"997,006",223,69.99,0.2232
11,"996,783",235,69.00,0.2356
12,"996,548",249,68.02,0.2496
13,"996,300",264,67.04,0.2651
14,"996,035",280,66.05,0.2815
15,"995,755",297,65.07,0.2983
16,"995,458",314,64.09,0.3152
17,"995,144",330,63.11,0.3317
18,"994,814",346,62.13,0.3477
19,"994,468",361,61.15,0.3629
20,"994,107",375,60.18,0.3774
21,"993,732",389,59.20,0.3911
22,"993,344",401,58.22,0.4041
23,"992,942",413,57.25,0.4163
24,"992,529",425,56.27,0.4280
25,"992,104",436,55.29,0.4392
26,"991,668",446,54.32,0.4502
27,"991,222",457,53.34,0.4612
28,"990,765",468,52.37,0.4728
29,"990,296",481,51.39,0.4854
30,"989,815",495,50.41,0.4998
31,"989,321",511,49.44,0.5166
32,"988,810",531,48.46,0.5368
33,"988,279",555,47.49,0.5611
34,"987,724",583,46.52,0.5904
35,"987,141",617,45.54,0.6255
36,"986,524",658,44.57,0.6668
37,"985,866",705,43.60,0.7150
38,"985,161",759,42.63,0.7701
39,"984,402",820,41.67,0.8326
40,"983,583",888,40.70,0.9024
41,"982,695",963,39.74,0.9798
42,"981,732","1,045",38.77,1.0648
43,"980,687","1,135",37.81,1.1574
44,"979,552","1,232",36.86,1.2576
45,"978,320","1,336",35.90,1.3655
46,"976,984","1,447",34.95,1.4816
47,"975,537","1,568",34.00,1.6069
48,"973,969","1,698",33.06,1.7430
49,"972,271","1,840",32.11,1.8927
50,"970,431","1,999",31.17,2.0594
51,"968,433","2,176",30.24,2.2473
52,"966,256","2,378",29.30,2.4608
53,"963,879","2,607",28.38,2.7044
54,"961,272","2,867",27.45,2.9825
55,"958,405","3,162",26.53,3.2988
56,"955,243","3,493",25.62,3.6568
57,"951,750","3,864",24.71,4.0603
58,"947,886","4,278",23.81,4.5136
59,"943,607","4,740",22.91,5.0228
60,"938,868","5,254",22.03,5.5964
61,"933,614","5,832",21.15,6.2463
62,"927,782","6,484",20.28,6.9888
63,"921,298","7,228",19.42,7.8450
64,"914,070","8,082",18.57,8.8415
65,"905,989","9,069",17.73,10.0098
66,"896,920","10,213",16.90,11.3864
67,"886,707","11,537",16.09,13.0107
68,"875,170","13,061",15.30,14.9239
69,"862,109","14,799",14.52,17.1660
70,"847,310","16,754",13.77,19.7730
71,"830,557","18,915",13.03,22.7740
72,"811,641","21,256",12.33,26.1888
73,"790,386","23,733",11.64,30.0267
74,"766,653","26,287",10.99,34.2878
75,"740,366","28,848",10.36,38.9651
76,"711,518","31,342",9.76,44.0499
77,"680,175","33,693",9.19,49.5364
78,"646,482","35,833",8.64,55.4271
79,"610,649","37,699",8.12,61.7360
80,"572,950","39,241",7.62,68.4894
81,"533,709","40,416",7.14,75.7265
82,"493,293","41,189",6.69,83.4974
83,"452,105","41,531",6.25,91.8619
84,"410,573","41,422",5.83,100.8872
85,"369,152","40,845",5.43,110.6464
86,"328,306","39,796",5.04,121.2165
87,"288,510","38,278",4.67,132.6760
88,"250,232","36,746",4.31,146.8471
89,"213,486","34,698",3.97,162.5318
90,"178,788","32,162",3.64,179.8918
91,"146,625","29,194",3.33,199.1061
92,"117,431","25,879",3.03,220.3726
93,"91,553","22,331",2.74,243.9106
94,"69,222","18,544",2.47,267.8928
95,"50,678","14,886",2.19,293.7395
96,"35,792","11,507",1.89,321.4867
97,"24,285","8,528",1.55,351.1441
98,"15,758","6,030",1.12,382.6892
99,"9,727","9,727",0.50,"1,000.0000"
