????,l(x),d(x),eo(x),1000q(x)
0,"1,000,000","1,321",74.27,1.3208
1,"998,679",270,73.37,0.2705
2,"998,409",261,72.39,0.2613
3,"998,148",252,71.41,0.2521
4,"997,897",242,70.43,0.2430
5,"997,654",233,69.44,0.2338
6,"997,421",224,68.46,0.2246
7,"997,197",215,67.47,0.2154
8,"996,982",214,66.49,0.2149
9,"996,768",181,65.50,0.1820
10,"996,586",207,64.51,0.2077
11,"996,379",277,63.53,0.2777
12,"996,103",378,62.55,0.3791
13,"995,725",498,61.57,0.5005
14,"995,227",629,60.60,0.6322
15,"994,597",762,59.64,0.7657
16,"993,836",889,58.68,0.8942
17,"992,947","1,005",57.74,1.0124
18,"991,942","1,108",56.79,1.1165
19,"990,834","1,193",55.86,1.2040
20,"989,641","1,261",54.92,1.2743
21,"988,380","1,313",53.99,1.3280
22,"987,068","1,350",53.06,1.3673
23,"985,718","1,376",52.14,1.3960
24,"984,342","1,397",51.21,1.4196
25,"982,945","1,412",50.28,1.4368
26,"981,532","1,425",49.35,1.4514
27,"980,108","1,438",48.42,1.4674
28,"978,670","1,457",47.49,1.4886
29,"977,213","1,484",46.56,1.5183
30,"975,729","1,521",45.63,1.5586
31,"974,208","1,569",44.70,1.6107
32,"972,639","1,629",43.77,1.6747
33,"971,010","1,699",42.85,1.7501
34,"969,311","1,779",41.92,1.8358
35,"967,531","1,868",41.00,1.9307
36,"965,663","1,964",40.08,2.0338
37,"963,700","2,067",39.16,2.1451
38,"961,632","2,178",38.24,2.2649
39,"959,454","2,297",37.33,2.3942
40,"957,157","2,426",36.41,2.5348
41,"954,731","2,567",35.50,2.6888
42,"952,164","2,722",34.60,2.8585
43,"949,442","2,892",33.70,3.0462
44,"946,550","3,080",32.80,3.2543
45,"943,470","3,288",31.90,3.4846
46,"940,182","3,515",31.01,3.7386
47,"936,667","3,763",30.13,4.0174
48,"932,904","4,032",29.25,4.3215
49,"928,872","4,321",28.37,4.6514
50,"924,552","4,630",27.50,5.0075
51,"919,922","4,959",26.64,5.3909
52,"914,963","5,310",25.78,5.8038
53,"909,653","5,686",24.93,6.2505
54,"903,967","6,090",24.08,6.7375
55,"897,876","6,531",23.24,7.2739
56,"891,345","7,016",22.41,7.8713
57,"884,329","7,554",21.58,8.5426
58,"876,775","8,155",20.76,9.3015
59,"868,620","8,827",19.95,10.1621
60,"859,793","9,576",19.15,11.1381
61,"850,216","10,410",18.36,12.2434
62,"839,807","11,331",17.59,13.4927
63,"828,475","12,346",16.82,14.9020
64,"816,129","13,458",16.07,16.4902
65,"802,671","14,673",15.33,18.2798
66,"787,999","15,995",14.60,20.2984
67,"772,003","17,432",13.89,22.5797
68,"754,572","18,987",13.20,25.1631
69,"735,584","20,664",12.53,28.0915
70,"714,921","22,455",11.88,31.4089
71,"692,466","24,344",11.25,35.1557
72,"668,122","26,301",10.64,39.3650
73,"641,821","28,278",10.06,44.0585
74,"613,544","30,214",9.50,49.2451
75,"583,330","32,037",8.96,54.9201
76,"551,293","33,666",8.45,61.0680
77,"517,627","35,025",7.97,67.6655
78,"482,601","36,043",7.51,74.6857
79,"446,558","36,663",7.08,82.1014
80,"409,895","36,845",6.67,89.8893
81,"373,050","36,572",6.28,98.0345
82,"336,478","35,847",5.91,106.5369
83,"300,631","34,698",5.55,115.4175
84,"265,933","33,167",5.21,124.7211
85,"232,765","31,310",4.88,134.5142
86,"201,455","29,187",4.56,144.8791
87,"172,268","26,858",4.25,155.9076
88,"145,410","24,773",3.94,170.3675
89,"120,637","22,459",3.65,186.1685
90,"98,178","19,973",3.37,203.4350
91,"78,205","17,385",3.10,222.3030
92,"60,820","14,774",2.85,242.9208
93,"46,046","12,223",2.60,265.4509
94,"33,823","9,733",2.36,287.7722
95,"24,090","7,505",2.11,311.5438
96,"16,585","5,585",1.84,336.7781
97,"10,999","3,998",1.52,363.4698
98,"7,001","2,742",1.11,391.5927
99,"4,260","4,260",0.50,"1,000.0000"
